File_P,Filename,GPT_P11,GPT_P00,GPT_Pc,Gemini_P11,Gemini_P00,Gemini_Pc
0.0,traindataset_p_00_sampled400_EXTREME_ZERO_TOL_gemini_result.csv,0.795,0.765,0.78,0.94,0.775,0.8574999999999999
0.1,traindataset_p_01_sampled400_EXTREME_ZERO_TOL_gemini_result.csv,0.785,0.78,0.7825,0.91,0.7,0.8049999999999999
0.2,traindataset_p_02_sampled400_EXTREME_ZERO_TOL_gemini_result.csv,0.725,0.8,0.7625,0.925,0.725,0.825
0.3,traindataset_p_03_sampled400_EXTREME_ZERO_TOL_gemini_result.csv,0.7,0.8200000000000001,0.76,0.93,0.6950000000000001,0.8125
0.4,traindataset_p_04_sampled400_EXTREME_ZERO_TOL_gemini_result.csv,0.635,0.81,0.7225,0.885,0.6950000000000001,0.79
0.5,traindataset_p_05_sampled400_EXTREME_ZERO_TOL_gemini_result.csv,0.575,0.83,0.7024999999999999,0.915,0.75,0.8325
0.6,traindataset_p_06_sampled400_EXTREME_ZERO_TOL_gemini_result.csv,0.51,0.855,0.6825,0.94,0.675,0.8075
0.7,traindataset_p_07_sampled400_EXTREME_ZERO_TOL_gemini_result.csv,0.5,0.875,0.6875,0.925,0.7150000000000001,0.8200000000000001
0.8,traindataset_p_08_sampled400_EXTREME_ZERO_TOL_gemini_result.csv,0.405,0.915,0.66,0.86,0.7,0.78
0.9,traindataset_p_09_sampled400_EXTREME_ZERO_TOL_gemini_result.csv,0.325,0.91,0.6175,0.9,0.645,0.7725
1.0,traindataset_p_10_sampled400_EXTREME_ZERO_TOL_gemini_result.csv,0.25,0.95,0.6,0.835,0.6799999999999999,0.7575
